Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Country,Region,Market,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Delivery_Days
IN-2022-BE114557-42080,22/03/17,22/03/22,Second Class,BE-114557,Brad Eason,Home Office,Sydney,New South Wales,Australia,Oceania,Asia Pacific,TEC-CO-4568,Technology,Copiers,"Hewlett Copy Machine, Color",3299,14,0.1,366,336,Medium,5
IN-2022-CC125507-42046,22/02/11,11/02/22,Same Day,CC-125507,Clay Cheatham,Consumer,Whyalla,South Australia,Australia,Oceania,Asia Pacific,TEC-CO-3706,Technology,Copiers,"Canon Personal Copier, Laser",1027,8,0.1,182,332,Critical,0
IN-2022-AB101057-42153,22/05/29,5/06/22,Standard Class,AB-101057,Adrian Barton,Consumer,Adelaide,South Australia,Australia,Oceania,Asia Pacific,TEC-CO-3609,Technology,Copiers,"Brother Wireless Fax, Digital",1703,5,0.1,737,332,Low,7
IN-2022-CS121307-42266,22/09/19,21/09/22,Second Class,CS-121307,Chad Sievert,Consumer,Melbourne,Victoria,Australia,Oceania,Asia Pacific,FUR-BO-5761,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",1586,4,0.1,17,307,High,2
IN-2022-AM107057-42047,22/02/12,14/02/22,Second Class,AM-107057,Anne McFarland,Consumer,Brisbane,Queensland,Australia,Oceania,Asia Pacific,TEC-AC-4186,Technology,Accessories,"Enermax Router, Erganomic",2074,9,0.1,276,294,Medium,2
IN-2022-MD178607-42171,22/06/16,21/06/22,Standard Class,MD-178607,Michael Dominguez,Corporate,Sydney,New South Wales,Australia,Oceania,Asia Pacific,TEC-CO-3598,Technology,Copiers,"Brother Fax Machine, Laser",2293,8,0.1,509,288,High,5
IN-2022-CM124457-42315,22/11/07,11/11/22,Standard Class,CM-124457,Chuck Magee,Consumer,Wollongong,New South Wales,Australia,Oceania,Asia Pacific,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",2841,6,0,852,287,High,4
IN-2022-NL1831092-42266,22/09/19,19/09/22,Same Day,NL-1831092,Nancy Lomonaco,Home Office,Christchurch,Canterbury,New Zealand,Oceania,Asia Pacific,TEC-CO-3706,Technology,Copiers,"Canon Personal Copier, Laser",856,6,0,222,268,Critical,0
ID-2022-AR105707-42290,22/10/13,18/10/22,Standard Class,AR-105707,Anemone Ratner,Consumer,Perth,Western Australia,Australia,Oceania,Asia Pacific,TEC-CO-4791,Technology,Copiers,"HP Wireless Fax, High-Speed",1612,5,0.1,394,266,High,5
ID-2022-AH100757-42367,22/12/29,31/12/22,First Class,AH-100757,Adam Hart,Corporate,Geelong,Victoria,Australia,Oceania,Asia Pacific,OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red",1534,3,0.1,-102,255,Medium,2
IN-2022-KN164507-42332,22/11/24,26/11/22,First Class,KN-164507,Kean Nguyen,Corporate,Perth,Western Australia,Australia,Oceania,Asia Pacific,TEC-PH-3147,Technology,Phones,"Apple Smart Phone, Cordless",2863,5,0.1,858,242,Medium,2
IN-2022-PB192107-42248,22/09/01,4/09/22,First Class,PB-192107,Phillip Breyer,Corporate,Wollongong,New South Wales,Australia,Oceania,Asia Pacific,OFF-AP-4738,Office Supplies,Appliances,"Hoover Refrigerator, White",1887,4,0.1,0,241,Medium,3
IN-2022-MR175457-42263,22/09/16,20/09/22,Second Class,MR-175457,Mathew Reese,Home Office,Wollongong,New South Wales,Australia,Oceania,Asia Pacific,FUR-CH-4656,Furniture,Chairs,"Hon Executive Leather Armchair, Red",1837,4,0,275,240,Medium,4
IN-2022-AH105857-42033,22/01/29,2/02/22,Standard Class,AH-105857,Angele Hood,Consumer,Townsville,Queensland,Australia,Oceania,Asia Pacific,FUR-BO-4849,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",1864,5,0.1,455,239,High,4
IN-2022-FC142457-42326,22/11/18,22/11/22,Second Class,FC-142457,Frank Carlisle,Home Office,Queanbeyan,New South Wales,Australia,Oceania,Asia Pacific,TEC-PH-3152,Technology,Phones,"Apple Speaker Phone, VoIP",1221,11,0.1,325,238,High,4
ID-2022-TH212357-42175,22/06/20,23/06/22,Second Class,TH-212357,Tiffany House,Corporate,Sydney,New South Wales,Australia,Oceania,Asia Pacific,TEC-CO-6000,Technology,Copiers,"Sharp Fax Machine, Laser",1596,6,0.1,-53,238,Medium,3
ID-2022-BE114557-42242,22/08/26,28/08/22,First Class,BE-114557,Brad Eason,Home Office,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,FUR-CH-4656,Furniture,Chairs,"Hon Executive Leather Armchair, Red",1653,6,0.4,-689,237,High,2
IN-2022-PS189707-42342,22/12/04,8/12/22,Standard Class,PS-189707,Paul Stevenson,Home Office,Hobart,Tasmania,Australia,Oceania,Asia Pacific,FUR-TA-4713,Furniture,Tables,"Hon Wood Table, with Bottom Storage",2125,4,0,148,234,Medium,4
ID-2022-ST205307-42336,22/11/28,5/12/22,Standard Class,ST-205307,Shui Tom,Consumer,Bundaberg,Queensland,Australia,Oceania,Asia Pacific,FUR-TA-3766,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage",1832,3,0.3,-445,228,Low,7
ID-2022-CM123857-42208,22/07/23,25/07/22,Second Class,CM-123857,Christopher Martinez,Consumer,Adelaide,South Australia,Australia,Oceania,Asia Pacific,OFF-ST-5700,Office Supplies,Storage,"Rogers Lockers, Blue",952,5,0.1,-53,223,High,2
ID-2022-BD116057-42103,22/04/09,13/04/22,Standard Class,BD-116057,Brian Dahlen,Consumer,Newcastle,New South Wales,Australia,Oceania,Asia Pacific,FUR-CH-5380,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",1656,4,0.1,-110,215,High,4
IN-2022-PB191057-42281,22/10/04,5/10/22,First Class,PB-191057,Peter Bühler,Consumer,Orange,New South Wales,Australia,Oceania,Asia Pacific,TEC-CO-4578,Technology,Copiers,"Hewlett Fax Machine, Laser",2015,7,0.1,850,215,Medium,1
IN-2022-GK1462092-42294,22/10/17,20/10/22,Second Class,GK-1462092,Grace Kelly,Corporate,Napier,Hawke's Bay,New Zealand,Oceania,Asia Pacific,TEC-CO-3597,Technology,Copiers,"Brother Fax Machine, High-Speed",2533,8,0,278,215,Medium,3
IN-2022-CJ118757-42172,22/06/17,21/06/22,Standard Class,CJ-118757,Carl Jackson,Corporate,Brisbane,Queensland,Australia,Oceania,Asia Pacific,TEC-CO-4592,Technology,Copiers,"Hewlett Wireless Fax, High-Speed",2383,7,0.1,794,211,High,4
IN-2022-CG1204092-42032,22/01/28,30/01/22,Second Class,CG-1204092,Catherine Glotzbach,Home Office,Wellington,Wellington,New Zealand,Oceania,Asia Pacific,FUR-BO-3629,Furniture,Bookcases,"Bush Corner Shelving, Mobile",759,6,0,15,206,Critical,2
ID-2022-LW172157-42293,22/10/16,20/10/22,Standard Class,LW-172157,Luke Weiss,Consumer,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1241,3,0.1,124,202,High,4
IN-2022-JW1607592-42301,22/10/24,28/10/22,Second Class,JW-1607592,Julia West,Consumer,Hamilton,Waikato,New Zealand,Oceania,Asia Pacific,FUR-CH-5441,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",3719,8,0,632,200,Medium,4
IN-2022-AH105857-42033,22/01/29,2/02/22,Standard Class,AH-105857,Angele Hood,Consumer,Townsville,Queensland,Australia,Oceania,Asia Pacific,FUR-BO-3887,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",1028,8,0.1,274,198,High,4
IN-2022-BB115457-42326,22/11/18,18/11/22,Same Day,BB-115457,Brenda Bowman,Corporate,Townsville,Queensland,Australia,Oceania,Asia Pacific,TEC-AC-5225,Technology,Accessories,"Memorex Router, Programmable",891,4,0.1,207,197,Medium,0
ID-2022-CS123557-42328,22/11/20,23/11/22,First Class,CS-123557,Christine Sundaresam,Consumer,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,TEC-MA-5547,Technology,Machines,"Panasonic Inkjet, Red",1113,6,0.4,-705,196,Critical,3
IN-2022-KM163757-42342,22/12/04,4/12/22,Same Day,KM-163757,Katherine Murray,Home Office,Wollongong,New South Wales,Australia,Oceania,Asia Pacific,TEC-MA-5019,Technology,Machines,"Konica Receipt Printer, Red",859,8,0.1,28,194,Medium,0
ID-2022-SB202907-42178,22/06/23,27/06/22,Standard Class,SB-202907,Sean Braxton,Corporate,Geelong,Victoria,Australia,Oceania,Asia Pacific,FUR-TA-3442,Furniture,Tables,"Bevis Wood Table, with Bottom Storage",2614,7,0.3,-821,194,Medium,4
ID-2022-CS123557-42328,22/11/20,23/11/22,First Class,CS-123557,Christine Sundaresam,Consumer,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size",771,2,0.4,-321,193,Critical,3
IN-2022-BT113957-42284,22/10/07,9/10/22,First Class,BT-113957,Bill Tyler,Corporate,Melbourne,Victoria,Australia,Oceania,Asia Pacific,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",1241,3,0.1,124,193,High,2
IN-2022-SB201707-42125,22/05/01,4/05/22,First Class,SB-201707,Sarah Bern,Consumer,Brisbane,Queensland,Australia,Oceania,Asia Pacific,TEC-CO-3704,Technology,Copiers,"Canon Personal Copier, Digital",512,4,0.1,193,188,High,3
ID-2022-DM130157-42158,22/06/03,4/06/22,First Class,DM-130157,Darrin Martin,Consumer,Caloundra,Queensland,Australia,Oceania,Asia Pacific,OFF-AP-3865,Office Supplies,Appliances,"Cuisinart Microwave, Red",1754,7,0.1,214,187,High,1
IN-2022-DW135407-42078,22/03/15,19/03/22,Standard Class,DW-135407,Don Weiss,Consumer,Geelong,Victoria,Australia,Oceania,Asia Pacific,FUR-CH-5807,Furniture,Chairs,"SAFCO Swivel Stool, Red",1058,7,0.1,340,184,High,4
IN-2022-CM122357-42171,22/06/16,21/06/22,Standard Class,CM-122357,Chris McAfee,Consumer,Mandurah,Western Australia,Australia,Oceania,Asia Pacific,FUR-BO-5951,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",3139,8,0.1,941,184,Medium,5
IN-2022-JD161507-42251,22/09/04,7/09/22,Second Class,JD-161507,Justin Deggeller,Corporate,Sydney,New South Wales,Australia,Oceania,Asia Pacific,FUR-CH-4532,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red",1284,3,0.1,199,183,Critical,3
IN-2022-JD1601592-42321,22/11/13,17/11/22,Second Class,JD-1601592,Joy Daniels,Consumer,Palmerston North,Manawatu-Wanganui,New Zealand,Oceania,Asia Pacific,FUR-CH-4564,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two",1458,8,0,495,177,Medium,4
IN-2022-GD145907-42151,22/05/27,31/05/22,Second Class,GD-145907,Giulietta Dortch,Corporate,Sydney,New South Wales,Australia,Oceania,Asia Pacific,TEC-PH-3129,Technology,Phones,"Apple Audio Dock, VoIP",1953,13,0.1,282,176,High,4
IN-2022-ZC219107-42333,22/11/25,29/11/22,Standard Class,ZC-219107,Zuschuss Carroll,Consumer,Palmerston,Northern Territory,Australia,Oceania,Asia Pacific,TEC-MA-5008,Technology,Machines,"Konica Inkjet, Wireless",1411,5,0.1,580,173,High,4
IN-2022-EM139607-42130,22/05/06,9/05/22,First Class,EM-139607,Eric Murdock,Consumer,Newcastle,New South Wales,Australia,Oceania,Asia Pacific,TEC-CO-3597,Technology,Copiers,"Brother Fax Machine, High-Speed",1266,4,0,139,172,Medium,3
IN-2022-PH1879092-42290,22/10/13,15/10/22,First Class,PH-1879092,Patricia Hirasaki,Home Office,Wellington,Wellington,New Zealand,Oceania,Asia Pacific,TEC-PH-3807,Technology,Phones,"Cisco Smart Phone, with Caller ID",1308,2,0,536,168,Medium,2
ID-2022-TC211457-42343,22/12/05,8/12/22,First Class,TC-211457,Theresa Coyne,Corporate,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,FUR-CH-4701,Furniture,Chairs,"Hon Swivel Stool, Adjustable",897,6,0.1,-10,150,High,3
IN-2022-MS175307-42290,22/10/13,13/10/22,Same Day,MS-175307,MaryBeth Skach,Consumer,Mount Isa,Queensland,Australia,Oceania,Asia Pacific,TEC-CO-4773,Technology,Copiers,"HP Fax Machine, Color",542,2,0.1,126,149,Critical,0
IN-2022-RS1976592-42202,22/07/17,19/07/22,First Class,RS-1976592,Roland Schwarz,Corporate,Timaru,Canterbury,New Zealand,Oceania,Asia Pacific,TEC-CO-3687,Technology,Copiers,"Canon Fax Machine, Digital",636,2,0,12,146,High,2
ID-2022-MC176357-42132,22/05/08,12/05/22,Second Class,MC-176357,Matthew Clasen,Corporate,Mandurah,Western Australia,Australia,Oceania,Asia Pacific,TEC-AC-5226,Technology,Accessories,"Memorex Router, USB",1774,8,0.1,492,144,Medium,4
IN-2022-MS175307-42290,22/10/13,13/10/22,Same Day,MS-175307,MaryBeth Skach,Consumer,Mount Isa,Queensland,Australia,Oceania,Asia Pacific,TEC-CO-4791,Technology,Copiers,"HP Wireless Fax, High-Speed",645,2,0.1,157,142,Critical,0
ID-2022-AG1030092-42132,22/05/08,12/05/22,Standard Class,AG-1030092,Aleksandra Gannaway,Corporate,Auckland,Auckland,New Zealand,Oceania,Asia Pacific,FUR-BO-5951,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",1046,4,0.4,-52,140,High,4
ID-2022-EM138107-42097,22/04/03,7/04/22,Standard Class,EM-138107,Eleni McCrary,Corporate,Adelaide,South Australia,Australia,Oceania,Asia Pacific,TEC-CO-3607,Technology,Copiers,"Brother Personal Copier, Laser",1414,11,0.1,235,131,Medium,4
ID-2022-MC181007-42252,22/09/05,10/09/22,Second Class,MC-181007,Mick Crebagga,Consumer,Sydney,New South Wales,Australia,Oceania,Asia Pacific,TEC-MA-5572,Technology,Machines,"Panasonic Printer, Red",949,4,0.1,-105,127,Medium,5
ID-2022-KL166457-42202,22/07/17,17/07/22,Same Day,KL-166457,Ken Lonsdale,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,Asia Pacific,FUR-BO-5950,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",1049,4,0.4,-314,125,Medium,0
IN-2022-DL1331592-42025,22/01/21,25/01/22,Standard Class,DL-1331592,Delfina Latchford,Consumer,Auckland,Auckland,New Zealand,Oceania,Asia Pacific,TEC-CO-4789,Technology,Copiers,"HP Wireless Fax, Color",867,4,0.4,86,124,High,4
IN-2022-NG184307-42322,22/11/14,17/11/22,First Class,NG-184307,Nathan Gelder,Consumer,Melbourne,Victoria,Australia,Oceania,Asia Pacific,FUR-CH-4654,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",2068,5,0.1,206,124,High,3
ID-2022-NP183257-42368,22/12/30,1/01/16,Second Class,NP-183257,Naresj Patel,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,Asia Pacific,FUR-CH-4545,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",433,5,0.4,-166,124,Critical,2
ID-2022-TB214007-42322,22/11/14,16/11/22,First Class,TB-214007,Tom Boeckenhauer,Consumer,Toowoomba,Queensland,Australia,Oceania,Asia Pacific,FUR-TA-4643,Furniture,Tables,"Hon Computer Table, Fully Assembled",689,2,0.3,-226,122,High,2
IN-2022-SR207407-42276,22/09/29,4/10/22,Standard Class,SR-207407,Steven Roelle,Home Office,Adelaide,South Australia,Australia,Oceania,Asia Pacific,TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless",848,3,0.1,310,116,High,5
IN-2022-NM184457-42284,22/10/07,10/10/22,Second Class,NM-184457,Nathan Mautz,Home Office,Perth,Western Australia,Australia,Oceania,Asia Pacific,TEC-AC-3387,Technology,Accessories,"Belkin Keyboard, USB",378,5,0.1,113,115,Critical,3
IN-2022-EG139007-42110,22/04/16,21/04/22,Standard Class,EG-139007,Emily Grady,Consumer,Melbourne,Victoria,Australia,Oceania,Asia Pacific,OFF-AP-4956,Office Supplies,Appliances,"KitchenAid Microwave, Black",1393,5,0.1,572,112,Medium,5
IN-2022-ME173207-42361,22/12/23,30/12/22,Standard Class,ME-173207,Maria Etezadi,Home Office,Griffith,New South Wales,Australia,Oceania,Asia Pacific,FUR-BO-3892,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",1109,3,0.1,86,110,Low,7
ID-2022-DB136607-42200,22/07/15,20/07/22,Standard Class,DB-136607,Duane Benoit,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,Asia Pacific,OFF-AP-4963,Office Supplies,Appliances,"KitchenAid Refrigerator, White",2525,8,0.4,-294,109,Medium,5
IN-2022-JP154607-42253,22/09/06,8/09/22,First Class,JP-154607,Jennifer Patt,Corporate,Lismore,New South Wales,Australia,Oceania,Asia Pacific,TEC-AC-4186,Technology,Accessories,"Enermax Router, Erganomic",461,2,0.1,61,108,Critical,2
IN-2022-SR207407-42276,22/09/29,4/10/22,Standard Class,SR-207407,Steven Roelle,Home Office,Adelaide,South Australia,Australia,Oceania,Asia Pacific,FUR-BO-5786,Furniture,Bookcases,"Safco Library with Doors, Mobile",1059,3,0.1,235,107,High,5
IN-2022-LD170057-42063,22/02/28,4/03/22,Second Class,LD-170057,Lisa DeCherney,Consumer,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,FUR-BO-5798,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",545,4,0.1,60,106,High,4
ID-2022-DM130157-42158,22/06/03,4/06/22,First Class,DM-130157,Darrin Martin,Consumer,Caloundra,Queensland,Australia,Oceania,Asia Pacific,OFF-ST-6048,Office Supplies,Storage,"Smead Lockers, Single Width",714,4,0.1,277,105,High,1
IN-2022-SR207407-42143,22/05/19,22/05/22,Second Class,SR-207407,Steven Roelle,Home Office,Brisbane,Queensland,Australia,Oceania,Asia Pacific,FUR-BO-4861,Furniture,Bookcases,"Ikea Library with Doors, Mobile",987,3,0.1,43,103,High,3
IN-2022-JF152957-42118,22/04/24,28/04/22,Second Class,JF-152957,Jason Fortune-,Consumer,Melbourne,Victoria,Australia,Oceania,Asia Pacific,TEC-AC-5225,Technology,Accessories,"Memorex Router, Programmable",1337,6,0.1,311,103,Medium,4
IN-2022-CD119807-42333,22/11/25,29/11/22,Standard Class,CD-119807,Carol Darley,Consumer,Sydney,New South Wales,Australia,Oceania,Asia Pacific,TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless",1130,4,0.1,414,103,High,4
IN-2022-PF1912092-42276,22/09/29,4/10/22,Standard Class,PF-1912092,Peter Fuller,Consumer,Christchurch,Canterbury,New Zealand,Oceania,Asia Pacific,TEC-MA-5007,Technology,Machines,"Konica Inkjet, White",1242,4,0,285,102,High,5
IN-2022-DP131057-42271,22/09/24,28/09/22,Standard Class,DP-131057,Dave Poirier,Corporate,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,FUR-FU-4067,Furniture,Furnishings,"Eldon Frame, Erganomic",620,6,0.1,20,100,High,4
IN-2022-CC126107-42353,22/12/15,20/12/22,Standard Class,CC-126107,Corey Catlett,Corporate,Melbourne,Victoria,Australia,Oceania,Asia Pacific,FUR-CH-5453,Furniture,Chairs,"Office Star Steel Folding Chair, Set of Two",591,7,0.1,216,100,High,5
IN-2022-BT113057-42116,22/04/22,23/04/22,First Class,BT-113057,Beth Thompson,Home Office,Perth,Western Australia,Australia,Oceania,Asia Pacific,OFF-ST-6047,Office Supplies,Storage,"Smead Lockers, Industrial",895,5,0.1,39,98,High,1
IN-2022-LH1675092-42218,22/08/02,4/08/22,First Class,LH-1675092,Larry Hughes,Consumer,Auckland,Auckland,New Zealand,Oceania,Asia Pacific,TEC-AC-5122,Technology,Accessories,"Logitech Memory Card, Erganomic",242,4,0.4,-137,97,Critical,2
ID-2022-DP131657-42011,22/01/07,11/01/22,Standard Class,DP-131657,David Philippe,Consumer,Albury,New South Wales,Australia,Oceania,Asia Pacific,OFF-AP-3572,Office Supplies,Appliances,"Breville Microwave, Silver",3810,14,0.1,-42,96,Medium,4
ID-2022-JC153407-42324,22/11/16,22/11/22,Standard Class,JC-153407,Jasper Cacioppo,Consumer,Brisbane,Queensland,Australia,Oceania,Asia Pacific,FUR-CH-5776,Furniture,Chairs,"SAFCO Executive Leather Armchair, Set of Two",2503,6,0.1,834,95,Medium,6
IN-2022-ND184607-42029,22/01/25,1/02/22,Standard Class,ND-184607,Neil Ducich,Corporate,Ballarat,Victoria,Australia,Oceania,Asia Pacific,TEC-CO-4578,Technology,Copiers,"Hewlett Fax Machine, Laser",575,2,0.1,243,95,Low,7
IN-2022-NC1862592-42242,22/08/26,31/08/22,Second Class,NC-1862592,Noah Childs,Corporate,Christchurch,Canterbury,New Zealand,Oceania,Asia Pacific,OFF-AR-3475,Office Supplies,Art,"Binney & Smith Canvas, Blue",410,8,0,12,93,High,5
IN-2022-BE113357-42302,22/10/25,29/10/22,Standard Class,BE-113357,Bill Eplett,Home Office,Sydney,New South Wales,Australia,Oceania,Asia Pacific,FUR-BO-5961,Furniture,Bookcases,"Sauder Floating Shelf Set, Pine",1234,7,0.1,0,93,Medium,4
IN-2022-CM121607-42221,22/08/05,6/08/22,First Class,CM-121607,Charles McCrossin,Consumer,Newcastle,New South Wales,Australia,Oceania,Asia Pacific,TEC-CO-3695,Technology,Copiers,"Canon Ink, Digital",528,4,0.1,88,92,Medium,1
IN-2022-LM170657-42285,22/10/08,13/10/22,Standard Class,LM-170657,Liz MacKendrick,Consumer,Newcastle,New South Wales,Australia,Oceania,Asia Pacific,TEC-CO-3709,Technology,Copiers,"Canon Wireless Fax, High-Speed",1695,5,0.1,-37,92,Medium,5
IN-2022-MB173057-42179,22/06/24,28/06/22,Standard Class,MB-173057,Maria Bertelson,Consumer,Sydney,New South Wales,Australia,Oceania,Asia Pacific,FUR-CH-5379,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",1236,3,0.1,-96,92,Medium,4
ID-2022-EM140957-42176,22/06/21,26/06/22,Standard Class,EM-140957,Eudokia Martin,Corporate,Perth,Western Australia,Australia,Oceania,Asia Pacific,FUR-BO-3896,Furniture,Bookcases,"Dania Corner Shelving, Traditional",878,8,0.1,0,91,High,5
ID-2022-PK1907592-42033,22/01/29,2/02/22,Second Class,PK-1907592,Pete Kriz,Consumer,Dunedin,Otago,New Zealand,Oceania,Asia Pacific,TEC-CO-6010,Technology,Copiers,"Sharp Wireless Fax, Digital",853,4,0.4,-42,91,Medium,4
IN-2022-DB135557-42249,22/09/02,7/09/22,Standard Class,DB-135557,Dorothy Badders,Corporate,Newcastle,New South Wales,Australia,Oceania,Asia Pacific,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",852,2,0.1,189,90,Medium,5
IN-2022-IG150857-42305,22/10/28,4/11/22,Standard Class,IG-150857,Ivan Gibson,Consumer,Sydney,New South Wales,Australia,Oceania,Asia Pacific,OFF-AP-4508,Office Supplies,Appliances,"Hamilton Beach Stove, White",972,2,0.1,32,90,Medium,7
IN-2022-PP189557-42125,22/05/01,4/05/22,Second Class,PP-189557,Paul Prost,Home Office,Coffs Harbour,New South Wales,Australia,Oceania,Asia Pacific,FUR-BO-4860,Furniture,Bookcases,"Ikea Library with Doors, Metal",653,2,0.1,-7,89,Medium,3
IN-2022-SO203357-42178,22/06/23,29/06/22,Standard Class,SO-203357,Sean O'Donnell,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,Asia Pacific,FUR-CH-4655,Furniture,Chairs,"Hon Executive Leather Armchair, Black",822,3,0.4,-411,89,Low,6
ID-2022-DP131657-42011,22/01/07,11/01/22,Standard Class,DP-131657,David Philippe,Consumer,Albury,New South Wales,Australia,Oceania,Asia Pacific,OFF-AP-3870,Office Supplies,Appliances,"Cuisinart Refrigerator, Silver",1788,4,0.1,99,88,Medium,4
ID-2022-CW119057-42056,22/02/21,27/02/22,Standard Class,CW-119057,Carl Weiss,Home Office,Sydney,New South Wales,Australia,Oceania,Asia Pacific,OFF-ST-4057,Office Supplies,Storage,"Eldon File Cart, Single Width",805,7,0.1,-35,87,Medium,6
IN-2022-AH106907-42224,22/08/08,10/08/22,Second Class,AH-106907,Anna Häberlin,Corporate,Melbourne,Victoria,Australia,Oceania,Asia Pacific,TEC-CO-4581,Technology,Copiers,"Hewlett Ink, High-Speed",264,2,0.1,-23,87,Critical,2
